Boro-Block-Lot;CondoSection;Address;Neighborhood;BuildingClassification;TotalUnits;YearBuilt;GrossSqFt;EstimatedGrossIncome;GrossIncomePerSqFt;EstimatedExpense;ExpensePerSqFt;NetOperatingIncome;FullMarketValue;MarketValuePerSqFt
1-01313-7501;1350-R1;151 EAST 58 STREET;MIDTOWN CBD;R4-CONDOMINIUM;105;2001;365000;17315600;47.44;4175600;11.44;13140000;119899916;328.49
1-01314-7501;0319-R1;235 EAST 40 STREET;MIDTOWN EAST;R4-CONDOMINIUM;364;1986;351161;15352759;43.72;4923277;14.02;10429482;78559005;223.71
1-01319-7501;0482-R1;240 EAST 46 STREET;MIDTOWN EAST;R4-CONDOMINIUM;100;1970;60900;2142462;35.18;673554;11.06;1468908;10864000;178.39
1-01319-7502;1614-R1;845 2 AVENUE;MIDTOWN EAST;R4-CONDOMINIUM;18;2001;11861;508956;42.91;135097;11.39;373859;2819999;237.75
1-01320-7501;0085-R1;238 EAST 47 STREET;MIDTOWN EAST;R4-CONDOMINIUM;231;1982;350000;16131500;46.09;5187000;14.82;10944500;82296053;235.13
1-01320-7502;0238-R1;216 EAST 47 STREET;MIDTOWN EAST;R4-CONDOMINIUM;48;1985;77029;2950981;38.31;793399;10.3;2157582;16327000;211.96
1-01320-7503;0240-R1;210 EAST 47 STREET;MIDTOWN EAST;R4-CONDOMINIUM;92;1957;63927;2211874;34.6;624567;9.77;1587307;11752981;183.85
1-01320-7504;0451-R1;225 EAST 46 STREET;MIDTOWN EAST;R4-CONDOMINIUM;129;1956;81745;3134103;38.34;1198382;14.66;1935721;14648002;179.19
1-01320-7505;0620-R1;236 EAST 47 STREET;MIDTOWN EAST;R4-CONDOMINIUM;173;1988;164753;7318328;44.42;2242288;13.61;5076040;38215010;231.95
1-01320-7506;1828-R1;211 EAST 46 STREET;MIDTOWN EAST;R4-CONDOMINIUM;261;1979;207246;8859767;42.75;2569850;12.4;6289917;45650062;220.27
1-01322-7501;0201-R1;249 EAST 48 STREET;MIDTOWN EAST;R4-CONDOMINIUM;162;1959;170631;6185374;36.25;1861584;10.91;4323790;31881993;186.85
1-01322-7502;2055-R1;250 EAST 49 STREET;MIDTOWN EAST;R4-CONDOMINIUM;77;2006;105668;4522590;42.8;1130648;10.7;3391942;25485990;241.19
1-01323-7501;0185-R1;255 EAST 49 STREET;MIDTOWN EAST;R4-CONDOMINIUM;174;1985;193134;8579012;44.42;2628554;13.61;5950458;44797994;231.95
1-01324-7501;0518-R1;245 EAST 50 STREET;MIDTOWN EAST;R4-CONDOMINIUM;16;1980;19082;765761;40.13;190248;9.97;575513;4348999;227.91
1-01325-7501;0227-R1;226 EAST 52 STREET;MIDTOWN EAST;R4-CONDOMINIUM;25;1984;46800;1875000;40.06;374000;7.99;1501000;11217000;239.68
1-01325-7502;0424-R1;230 EAST 52 STREET;MIDTOWN EAST;R4-CONDOMINIUM;27;1901;15410;566009;36.73;139615;9.06;426394;3140994;203.83
1-01325-7503;1931-R1;209 EAST 51 STREET;MIDTOWN EAST;R4-CONDOMINIUM;73;1958;65985;2263286;34.3;600464;9.1;1662822;12320002;186.71
1-01325-7504;2240-R1;214 EAST 52 STREET;MIDTOWN EAST;R4-CONDOMINIUM;21;1900;17216;648527;37.67;153050;8.89;495477;4102447;238.29
1-01326-7501;1840-R1;250 EAST 53 STREET;MIDTOWN EAST;R4-CONDOMINIUM;135;2006;197233;8761090;44.42;2684341;13.61;6076749;45748001;231.95
1-01327-7501;0795-R1;211 EAST 53 STREET;MIDTOWN EAST;R9-CONDOMINIUM;146;1957;126021;4192719;33.27;1320700;10.48;2872019;21339000;169.33
1-01327-7502;0896-R1;250 EAST 54 STREET;MIDTOWN EAST;R4-CONDOMINIUM;176;1990;237531;10947804;46.09;3520209;14.82;7427595;55850998;235.13
1-01329-7501;2007-R1;231 EAST 55 STREET;MIDTOWN EAST;R4-CONDOMINIUM;40;2000;54638;2730000;49.97;550000;10.07;2180000;16180996;296.15
1-01330-7501;1563-R1;212 EAST 57 STREET;MIDTOWN EAST;R4-CONDOMINIUM;38;2004;70308;3050000;43.38;775000;11.02;2275000;16983003;241.55
1-01331-7501;0541-R1;200 EAST 58 STREET;MIDTOWN EAST;R4-CONDOMINIUM;115;1963;128436;4129217;32.15;1346009;10.48;2783208;20741999;161.5
1-01331-7502;0563-R1;225 EAST 57 STREET;MIDTOWN EAST;R9-CONDOMINIUM;260;1964;305093;11093181;36.36;4680127;15.34;6413054;47276000;154.96
1-01331-7503;1538-R1;207 EAST 57 STREET;MIDTOWN EAST;R4-CONDOMINIUM;67;2005;104916;5027575;47.92;1653476;15.76;3374099;25336999;241.5
1-01336-7501;0168-R1;806 2 AVENUE;MIDTOWN EAST;R4-CONDOMINIUM;79;1983;127399;5659064;44.42;1733900;13.61;3925164;29549995;231.95
1-01338-7501;0247-R1;846 2 AVENUE;MIDTOWN EAST;R4-CONDOMINIUM;113;1980;86845;3381744;38.94;1016955;11.71;2364789;16939996;195.06
1-01338-7502;0614-R1;325 EAST 45 STREET;MIDTOWN EAST;R4-CONDOMINIUM;166;1977;122021;4984558;40.85;1471573;12.06;3512985;26535001;217.46
1-01340-7501;1165-R1;845 UNITED NATIONS PLAZA;MIDTOWN EAST;R4-CONDOMINIUM;366;2000;825532;51500000;62.38;14000000;16.96;37500000;275918004;334.23
1-01341-7501;0176-R1;330 EAST 49 STREET;MIDTOWN EAST;R4-CONDOMINIUM;141;1962;89872;2823778;31.42;934669;10.4;1889109;14099000;156.88
1-01341-7502;0259-R1;317 EAST 48 STREET;MIDTOWN EAST;R4-CONDOMINIUM;126;1962;82112;2579959;31.42;853965;10.4;1725994;12881976;156.88
1-01341-7503;0336-R1;100 UNITED NATIONS PLAZA;MIDTOWN EAST;R4-CONDOMINIUM;237;1984;438326;19264428;43.95;5724538;13.06;13539890;101965003;232.62
1-01341-7504;0931-R1;346 EAST 49 STREET;MIDTOWN EAST;RR-CONDOMINIUM;16;1900;8214;189210;23.04;78000;9.5;111210;811000;98.73
1-01341-7505;1792-R1;865 1 AVENUE;MIDTOWN EAST;R4-CONDOMINIUM;81;1930;78000;2521740;32.33;939900;12.05;1581840;11776002;150.97
1-01342-7501;0061-R1;309 EAST 49 STREET;MIDTOWN EAST;R4-CONDOMINIUM;85;1982;119419;5105162;42.75;1480796;12.4;3624366;27338994;228.93
1-01342-7502;0105-R1;301 EAST 49 STREET;MIDTOWN EAST;R4-CONDOMINIUM;20;1982;33376;1400123;41.95;366802;10.99;1033321;7799005;233.67
1-01342-7503;1357-R1;344 EAST 50 STREET;MIDTOWN EAST;R2-CONDOMINIUM;15;1920;10550;455971;43.22;108454;10.28;347517;2618001;248.15
1-01343-7501;0060-R1;317 EAST 50 STREET;MIDTOWN EAST;R4-CONDOMINIUM;115;1931;93015;2893697;31.11;998981;10.74;1894716;14150000;152.13
1-01343-7504;1809-R1;343 EAST 50 STREET;MIDTOWN EAST;R4-CONDOMINIUM;23;1900;35615;1318467;37.02;224018;6.29;1094449;8055002;226.17
1-01344-7501;0145-R1;335 EAST 51 STREET;MIDTOWN EAST;R4-CONDOMINIUM;97;1963;67540;2122107;31.42;702416;10.4;1419691;10596003;156.88
1-01344-7502;1212-R1;351 EAST 51 STREET;MIDTOWN EAST;R4-CONDOMINIUM;64;2000;158085;7733518;48.92;1909667;12.08;5823851;43670000;276.24
1-01345-7501;1594-R1;310 EAST 53 STREET;MIDTOWN EAST;R4-CONDOMINIUM;85;2006;166692;7641161;45.84;2040310;12.24;5600851;42121005;252.69
1-01346-7501;0323-R1;320 EAST 54 STREET;MIDTOWN EAST;R4-CONDOMINIUM;90;1959;65000;2042300;31.42;676000;10.4;1366300;10197002;156.88
1-01346-7503;0475-R1;975 1 AVENUE;MIDTOWN EAST;R4-CONDOMINIUM;59;1941;53435;1742515;32.61;585113;10.95;1157402;8611002;161.15
1-01347-7501;1396-R1;300 EAST 55 STREET;MIDTOWN EAST;R4-CONDOMINIUM;118;2003;219278;10106523;46.09;3249700;14.82;6856823;51559018;235.13
1-01349-7501;0510-R1;345 EAST 56 STREET;MIDTOWN EAST;R9-CONDOMINIUM;174;1960;198115;7724504;38.99;2799365;14.13;4925139;37252000;188.03
1-01349-7502;1632-R1;330 EAST 57 STREET;MIDTOWN EAST;R4-CONDOMINIUM;14;2005;41406;2000000;48.3;300000;7.25;1700000;12347000;298.19
1-01349-7503;1838-R1;360 EAST 57 STREET;MIDTOWN EAST;RR-CONDOMINIUM;42;1981;76035;2860000;37.61;900000;11.84;1960000;14402000;189.41
1-01350-7501;0178-R1;351 EAST 57 STREET;MIDTOWN EAST;R9-CONDOMINIUM;115;1958;95347;3432492;36;1050724;11.02;2381768;17572000;184.3
1-01362-7502;1279-R1;400 EAST 51 STREET;MIDTOWN EAST;R4-CONDOMINIUM;87;2002;171958;7136257;41.5;1783204;10.37;5353053;46606228;271.03
1-01365-7501;0283-R1;966 1 AVENUE;MIDTOWN EAST;R4-CONDOMINIUM;189;1958;196802;6604675;33.56;1989668;10.11;4615007;34269005;174.13
1-01365-7502;0575-R1;400 EAST 54 STREET;MIDTOWN EAST;R4-CONDOMINIUM;228;1972;242825;9210352;37.93;2731781;11.25;6478571;49038995;201.95
1-01366-7501;0059-R1;415 EAST 54 STREET;MIDTOWN EAST;R4-CONDOMINIUM;106;1983;174032;7977627;45.84;2130152;12.24;5847475;43976015;252.69
1-01368-7501;0091-R1;444 EAST 57 STREET;MIDTOWN EAST;R4-CONDOMINIUM;60;1929;97636;3295215;33.75;1260481;12.91;2034734;15103001;154.69
1-01369-7501;0278-R1;420 EAST 58 STREET;MIDTOWN EAST;R4-CONDOMINIUM;75;1986;85992;3183424;37.02;908549;10.57;2274875;16390033;190.6
1-01370-7501;0037-R1;40 SUTTON PLACE;MIDTOWN EAST;R4-CONDOMINIUM;75;1981;61175;2535092;41.44;751229;12.28;1783863;13467997;220.16
1-01373-7501;1518-R1;455 MAIN STREET;UPPER EAST SIDE (59-79);R4-CONDOMINIUM;230;2004;184076;7931835;43.09;1978817;10.75;5953018;44861002;243.71
1-01373-7502;1714-R1;425 MAIN STREET;UPPER EAST SIDE (59-79);R4-CONDOMINIUM;216;2006;185948;8012499;43.09;1998941;10.75;6013558;45316961;243.71
1-01373-7503;1980-R1;415 MAIN STREET;UPPER EAST SIDE (59-79);R4-CONDOMINIUM;123;2007;158770;6841399;43.09;1706778;10.75;5134621;36850037;232.1
1-01373-7504;2053-R1;405 MAIN STREET;UPPER EAST SIDE (59-79);RR-CONDOMINIUM;242;2007;237122;9326008;39.33;2439985;10.29;6886023;52068000;219.58
1-01374-7502;1304-R1;502 PARK AVENUE;UPPER EAST SIDE (59-79);R4-CONDOMINIUM;126;2002;220037;10764210;48.92;2658047;12.08;8106163;58189996;264.46
1-01375-7501;0098-R1;40 EAST 61 STREET;UPPER EAST SIDE (59-79);R4-CONDOMINIUM;36;1928;78349;3094786;39.5;1009919;12.89;2084867;14706034;187.7
1-01376-7501;0244-R1;4 EAST 62 STREET;UPPER EAST SIDE (59-79);R4-CONDOMINIUM;13;1910;33255;1221456;36.73;301290;9.06;920166;6776999;203.79
1-01376-7502;0978-R1;40 EAST 62 STREET;UPPER EAST SIDE (59-79);R4-CONDOMINIUM;10;1912;22612;1006686;44.52;281519;12.45;725167;5464996;241.69
1-01377-7501;0014-R1;817 5 AVENUE;UPPER EAST SIDE (59-79);R4-CONDOMINIUM;16;1925;58566;2246006;38.35;690493;11.79;1555513;11771000;200.99
1-01377-7502;0111-R1;26 EAST 63 STREET;UPPER EAST SIDE (59-79);R4-CONDOMINIUM;68;1901;85219;3528067;41.4;1101029;12.92;2427038;18325991;215.05
1-01377-7503;0379-R1;1 EAST 62 STREET;UPPER EAST SIDE (59-79);R4-CONDOMINIUM;15;1910;24508;900179;36.73;222042;9.06;678137;4995001;203.81
1-01379-7502;1015-R1;610 PARK AVENUE;UPPER EAST SIDE (59-79);R4-CONDOMINIUM;66;1925;185696;8120486;43.73;2460472;13.25;5660014;42629999;229.57
1-01379-7504;1160-R1;838 5 AVENUE;UPPER EAST SIDE (59-79);R4-CONDOMINIUM;18;1951;56729;2972032;52.39;688123;12.13;2283909;17084000;301.15
1-01380-7501;1966-R1;40 EAST 66 STREET;UPPER EAST SIDE (59-79);R4-CONDOMINIUM;33;1929;95425;3963000;41.53;1348355;14.13;2614645;19738999;206.85
1-01381-7501;0400-R1;3 EAST 66 STREET;UPPER EAST SIDE (59-79);R4-CONDOMINIUM;27;1934;25652;942198;36.73;232407;9.06;709791;5227999;203.8
1-01381-7502;0582-R1;45 EAST 66 STREET;UPPER EAST SIDE (59-79);R9-CONDOMINIUM;35;1941;77739;2862350;36.82;774280;9.96;2088070;15376000;197.79
1-01381-7503;0598-R1;44 EAST 67 STREET;UPPER EAST SIDE (59-79);R4-CONDOMINIUM;46;1941;62196;2202360;35.41;663009;10.66;1539351;11380002;182.97
1-01381-7504;0653-R1;21 EAST 66 STREET;UPPER EAST SIDE (59-79);R4-CONDOMINIUM;19;1941;43682;1608371;36.82;435073;9.96;1173298;8640001;197.79
1-01382-7501;0805-R1;20 EAST 68 STREET;UPPER EAST SIDE (59-79);R9-CONDOMINIUM;84;1955;96152;3325898;34.59;969212;10.08;2356686;17450000;181.48
1-01384-7501;0897-R1;839 MADISON AVENUE;UPPER EAST SIDE (59-79);R4-CONDOMINIUM;12;1927;56415;2335581;41.4;728882;12.92;1606699;12131999;215.05
1-01384-7502;1095-R1;15 EAST 69 STREET;UPPER EAST SIDE (59-79);R4-CONDOMINIUM;48;1926;123994;6000000;48.39;1610000;12.98;4390000;32830000;264.77
1-01385-7502;1510-R1;33 EAST 70 STREET;UPPER EAST SIDE (59-79);R9-CONDOMINIUM;62;1928;273875;11587651;42.31;3182428;11.62;8405223;63421000;231.57
1-01386-7501;0193-R1;50 EAST 72 STREET;UPPER EAST SIDE (59-79);R4-CONDOMINIUM;48;1928;92781;3045072;32.82;1131928;12.2;1913144;14228004;153.35
1-01386-7502;0375-R1;52 EAST 72 STREET;UPPER EAST SIDE (59-79);R4-CONDOMINIUM;16;1986;42830;1916214;44.74;523811;12.23;1392403;9370593;218.79
1-01388-7501;0104-R1;923 5 AVENUE;UPPER EAST SIDE (59-79);R4-CONDOMINIUM;97;1950;153046;6144797;40.15;1854918;12.12;4289879;32170418;210.2
1-01389-7501;0050-R1;23 EAST 74 STREET;UPPER EAST SIDE (59-79);R9-CONDOMINIUM;72;1912;82280;2772836;33.7;916599;11.14;1856237;13780000;167.48
1-01389-7501;0050-R2;21 EAST 74 STREET;UPPER EAST SIDE (59-79);R4-CONDOMINIUM;6;1912;6345;213827;33.7;70683;11.14;143144;1063001;167.53
1-01390-7501;0023-R1;30 EAST 76 STREET;UPPER EAST SIDE (59-79);R4-CONDOMINIUM;15;1928;24277;1041726;42.91;262677;10.82;779049;5875999;242.04
1-01390-7502;0094-R1;32 EAST 76 STREET;UPPER EAST SIDE (59-79);R4-CONDOMINIUM;30;1982;42054;1881496;44.74;514320;12.23;1367176;10290006;244.69
1-01391-7501;0946-R1;14 EAST 77 STREET;UPPER EAST SIDE (59-79);R4-CONDOMINIUM;12;1910;9445;337659;35.75;70082;7.42;267577;1977002;209.32
1-01392-7501;0460-R1;1009 MADISON AVENUE;UPPER EAST SIDE (59-79);R4-CONDOMINIUM;111;1958;176897;7277543;41.14;2227133;12.59;5050410;38138999;215.6
1-01393-7501;0637-R1;3 EAST 78 STREET;UPPER EAST SIDE (59-79);R4-CONDOMINIUM;13;1910;14977;548757;36.64;122212;8.16;426545;3142001;209.79
1-01394-7501;1101-R1;515 PARK AVENUE;UPPER EAST SIDE (59-79);R4-CONDOMINIUM;44;1998;158497;7753673;48.92;1914644;12.08;5839029;41140001;259.56
1-01395-7501;0087-R1;1010 3 AVENUE;UPPER EAST SIDE (59-79);R9-CONDOMINIUM;166;1963;165925;6761444;40.75;1737235;10.47;5024209;37953000;228.74
1-01395-7502;0624-R1;521 PARK AVENUE;UPPER EAST SIDE (59-79);R4-CONDOMINIUM;27;1912;50302;2082000;41.39;412476;8.2;1669524;12606001;250.61
1-01395-7503;0667-R1;525 PARK AVENUE;UPPER EAST SIDE (59-79);R4-CONDOMINIUM;48;1915;100093;3316081;33.13;925860;9.25;2390221;17765000;177.48
1-01397-7502;0230-R1;149 EAST 62 STREET;UPPER EAST SIDE (59-79);R4-CONDOMINIUM;12;1915;4777;175889;36.82;47579;9.96;128310;896504;187.67
1-01397-7503;0733-R1;166 EAST 63 STREET;UPPER EAST SIDE (59-79);R4-CONDOMINIUM;157;1959;204524;8334353;40.75;2141366;10.47;6192987;46781999;228.74
1-01397-7504;0770-R1;130 EAST 63 STREET;UPPER EAST SIDE (59-79);R9-CONDOMINIUM;74;1960;104981;3547308;33.79;1216730;11.59;2330578;17298000;164.77
1-01397-7505;1729-R1;140 EAST 63 STREET;UPPER EAST SIDE (59-79);R4-CONDOMINIUM;86;1927;128842;4921764;38.2;1346399;10.45;3575365;27056997;210
1-01398-7501;0345-R1;188 EAST 64 STREET;UPPER EAST SIDE (59-79);R4-CONDOMINIUM;200;1987;216171;10575085;48.92;2611346;12.08;7963739;59716000;276.24
1-01398-7502;0543-R1;139 EAST 63 STREET;UPPER EAST SIDE (59-79);R9-CONDOMINIUM;52;1962;90629;3062354;33.79;1050390;11.59;2011964;14933000;164.77
1-01400-7501;1151-R1;181 EAST 65 STREET;UPPER EAST SIDE (59-79);R4-CONDOMINIUM;93;2000;180846;8846986;48.92;2184620;12.08;6662366;48289990;267.02
1-01402-7501;0478-R1;1156 3 AVENUE;UPPER EAST SIDE (59-79);R9-CONDOMINIUM;164;1965;129320;5382298;41.62;1669521;12.91;3712777;28029000;216.74
1-01404-7501;0151-R1;715 PARK AVENUE;UPPER EAST SIDE (59-79);R4-CONDOMINIUM;76;1969;106669;4519566;42.37;1269361;11.9;3250205;24522007;229.89
1-01404-7503;0332-R1;188 EAST 70 STREET;UPPER EAST SIDE (59-79);R4-CONDOMINIUM;97;1986;165624;7785984;47.01;2293892;13.85;5492092;41268997;249.17
1-01405-7501;0103-R1;110 EAST 71 STREET;UPPER EAST SIDE (59-79);R4-CONDOMINIUM;21;1982;34906;1470939;42.14;323928;9.28;1147011;8656003;247.98
1-01407-7501;0161-R1;157 EAST 72 STREET;UPPER EAST SIDE (59-79);R4-CONDOMINIUM;138;1924;108820;3942549;36.23;1395072;12.82;2547477;18784999;172.62
1-01409-7501;0299-R1;157 EAST 74 STREET;UPPER EAST SIDE (59-79);R4-CONDOMINIUM;19;1986;41754;1720682;41.21;471403;11.29;1249279;9434000;225.94
1-01409-7502;0573-R1;1040 LEXINGTON AVENUE;UPPER EAST SIDE (59-79);R9-CONDOMINIUM;55;1929;117892;4480000;38;1535000;13.02;2945000;22295000;189.11
1-01409-7503;0639-R1;1036 LEXINGTON AVENUE;UPPER EAST SIDE (59-79);R9-CONDOMINIUM;32;1925;53255;1960849;36.82;530420;9.96;1430429;10533000;197.78
1-01410-7501;0237-R1;1068 LEXINGTON AVENUE;UPPER EAST SIDE (59-79);R9-CONDOMINIUM;81;1961;123370;4105754;33.28;924041;7.49;3181713;23640000;191.62
1-01410-7502;0721-R1;1065 LEXINGTON AVENUE;UPPER EAST SIDE (59-79);R9-CONDOMINIUM;30;1925;45621;1679765;36.82;454385;9.96;1225380;9023000;197.78
1-01410-7503;0968-R1;188 EAST 76 STREET;UPPER EAST SIDE (59-79);R4-CONDOMINIUM;73;1996;155731;7246163;46.53;1945080;12.49;5301083;39849000;255.88
1-01410-7504;1782-R1;823 PARK AVENUE;UPPER EAST SIDE (59-79);R4-CONDOMINIUM;38;1920;55758;1890754;33.91;558695;10.02;1332059;9884999;177.28
1-01411-7501;1077-R1;145 EAST 76 STREET;UPPER EAST SIDE (59-79);R4-CONDOMINIUM;20;1999;68979;2650000;38.42;515000;7.47;2135000;16162998;234.32
1-01411-7502;1760-R1;170 EAST 77 STREET;UPPER EAST SIDE (59-79);R4-CONDOMINIUM;54;1942;79883;3190527;39.94;992147;12.42;2198380;16616997;208.02
1-01412-7501;0712-R1;170 EAST 78 STREET;UPPER EAST SIDE (59-79);R9-CONDOMINIUM;34;1927;54967;1700000;30.93;540000;9.82;1160000;8677000;157.86
1-01412-7502;1158-R1;188 EAST 78 STREET;UPPER EAST SIDE (59-79);R4-CONDOMINIUM;71;2000;165787;7714069;46.53;2070680;12.49;5643389;42421994;255.88
1-01412-7503;1407-R1;177 EAST 77 STREET;UPPER EAST SIDE (59-79);R4-CONDOMINIUM;57;1942;87546;2873260;32.82;1068061;12.2;1805199;13425999;153.36
1-01413-7501;0257-R1;124 EAST 79 STREET;UPPER EAST SIDE (59-79);R4-CONDOMINIUM;66;1985;97000;4048780;41.74;913740;9.42;3135040;23664004;243.96
1-01413-7502;1366-R1;179 EAST 78 STREET;UPPER EAST SIDE (59-79);R4-CONDOMINIUM;14;1900;9285;308819;33.26;88579;9.54;220240;1636001;176.2
1-01414-7501;0139-R1;220 EAST 60 STREET;UPPER EAST SIDE (59-79);R4-CONDOMINIUM;137;1965;102271;4124589;40.33;1180207;11.54;2944382;22248996;217.55
1-01414-7502;1465-R1;205 EAST 59 STREET;UPPER EAST SIDE (59-79);R4-CONDOMINIUM;62;2003;82086;3200000;38.98;780000;9.5;2420000;18320998;223.19
1-01414-7503;1938-R1;250 EAST 60 STREET;UPPER EAST SIDE (59-79);RR-CONDOMINIUM;42;2006;37492;999912;26.67;429658;11.46;570254;4123000;109.97
1-01415-7501;0307-R1;200 EAST 61 STREET;UPPER EAST SIDE (59-79);R4-CONDOMINIUM;219;1986;254167;11511223;45.29;3240629;12.75;8270594;62227001;244.83
1-01419-7501;0197-R1;1225 2 AVENUE;UPPER EAST SIDE (59-79);R4-CONDOMINIUM;88;1963;124765;5192719;41.62;1610716;12.91;3582003;27041999;216.74
1-01419-7502;0529-R1;200 EAST 65 STREET;UPPER EAST SIDE (59-79);R4-CONDOMINIUM;295;1987;318183;14505963;45.59;3929560;12.35;10576403;79558002;250.04
1-01419-7503;0833-R1;220 EAST 65 STREET;UPPER EAST SIDE (59-79);R4-CONDOMINIUM;287;1978;307730;13937092;45.29;3923558;12.75;10013534;75341000;244.83
1-01420-7501;1951-R1;200 EAST 66 STREET;UPPER EAST SIDE (59-79);R4-CONDOMINIUM;578;1951;925645;32184677;34.77;11959333;12.92;20225344;149717993;161.74
1-01423-7501;0765-R1;200 EAST 69 STREET;UPPER EAST SIDE (59-79);R4-CONDOMINIUM;283;1991;408657;20048712;49.06;5067347;12.4;14981365;112328993;274.87
1-01424-7501;0466-R1;233 EAST 69 STREET;UPPER EAST SIDE (59-79);R9-CONDOMINIUM;204;1957;206511;7737967;37.47;2091956;10.13;5646011;41509000;201
1-01424-7503;1797-R1;212 EAST 70 STREET;UPPER EAST SIDE (59-79);R2-CONDOMINIUM;16;1900;9237;392757;42.52;82394;8.92;310363;2341000;253.44
1-01425-7501;0465-R1;1329 2 AVENUE;UPPER EAST SIDE (59-79);R9-CONDOMINIUM;88;1957;89223;3086224;34.59;899368;10.08;2186856;16193000;181.49
1-01429-7502;1960-R1;255 EAST 74 STREET;UPPER EAST SIDE (59-79);R4-CONDOMINIUM;77;2007;208325;10100000;48.48;2162414;10.38;7937586;59551001;285.86
1-01430-7501;0784-R1;240 EAST 76 STREET;UPPER EAST SIDE (59-79);R9-CONDOMINIUM;295;1957;239536;7971758;33.28;1794125;7.49;6177633;45900000;191.62
1-01432-7501;0356-R1;213 EAST 77 STREET;UPPER EAST SIDE (59-79);R4-CONDOMINIUM;30;1930;18869;657585;34.85;125856;6.67;531729;3934998;208.54
