Boro-Block-Lot;Address;Neighborhood;BuildingClassification;TotalUnits;YearBuilt;AreaSqFt;GrossIncomePerSqFt;ExpensePerSqFt;NetOperatingIncomePerSqFt;FullMarketValue;MarketValuePerSqFt
1-00180-7502;67 HUDSON STREET;TRIBECA;R4-CONDOMINIUM;20;1915;1037.5;32.77;11.51;-2930.430907;3280999;158.12
1-00180-7507;345 GREENWICH STREET;TRIBECA;R4-CONDOMINIUM;10;1921;2328.7;25;10.3;-1352.017272;2492001;107.01
1-00181-7501;355 GREENWICH STREET;TRIBECA;R2-CONDOMINIUM;10;1983;1096.2;29.93;11.17;-2970.774657;1543998;140.85
1-00181-7502;363 GREENWICH STREET;TRIBECA;R4-CONDOMINIUM;9;1915;1976.444444;26.59;10.22;-1702.392266;2100997;118.11
1-00188-7501;65 NORTH MOORE STREET;TRIBECA;R4-CONDOMINIUM;8;1915;1586.25;27.65;9.39;-2189.317126;1504899;118.59
1-00188-7502;387 GREENWICH STREET;TRIBECA;R4-CONDOMINIUM;36;1915;2401.416667;33.47;11.91;-1491.171814;13843002;160.13
1-00188-7503;53 NORTH MOORE STREET;TRIBECA;R4-CONDOMINIUM;46;1910;1804.782609;34.55;11.91;-2044.038648;13919998;167.67
1-00188-7505;48 BEACH STREET;TRIBECA;R4-CONDOMINIUM;25;1930;3781.28;29.55;11.53;-1004.201213;12100005;128
1-00189-7501;220 WEST BROADWAY;TRIBECA;R9-CONDOMINIUM;24;1915;2197.291667;26.49;9.9;-1777.318221;6328000;120
1-00189-7502;104 HUDSON STREET;TRIBECA;R4-CONDOMINIUM;14;1921;2898.642857;30.76;9.66;-1384.581431;6399998;157.71
1-00189-7507;132 FRANKLIN STREET;TRIBECA;R4-CONDOMINIUM;13;1915;4112.923077;30.76;9.66;-1002.092077;8432001;157.7
1-00189-7508;38 NORTH MOORE STREET;TRIBECA;R9-CONDOMINIUM;11;1915;1665;29.55;9.17;-2540.329241;2798000;152.77
1-00190-7501;39 NORTH MOORE STREET;TRIBECA;R4-CONDOMINIUM;10;1909;2440.7;31.97;10.15;-1777.264204;3981999;163.15
1-00190-7503;31 NORTH MOORE STREET;TRIBECA;R4-CONDOMINIUM;23;1915;3778.26087;31.97;10.15;-1176.702576;14136000;162.67
1-00190-7504;27 NORTH MOORE STREET;TRIBECA;R4-CONDOMINIUM;57;1905;2631.754386;31.97;10.15;-1730.408385;24401999;162.67
1-00190-7505;25 NORTH MOORE STREET;TRIBECA;R4-CONDOMINIUM;33;1924;3636.242424;36.03;11.91;-1282.128601;21352002;177.94
1-00190-7506;124 HUDSON STREET;TRIBECA;R4-CONDOMINIUM;26;2000;2616.653846;37.13;12.19;-1823.03478;12485002;183.51
1-00193-7501;395 BROADWAY;TRIBECA;R4-CONDOMINIUM;64;1915;1869.375;31.97;10.15;-2609.627028;19461006;162.66
1-00193-7505;37 WALKER STREET;TRIBECA;R2-CONDOMINIUM;2;1875;2084.5;27.13;10.71;-2392.176581;494000;118.49
1-00193-7509;51 WALKER STREET;TRIBECA;R4-CONDOMINIUM;15;2005;2305.8;41.84;12.55;-2209.477248;7646000;221.07
1-00202-7501;50 BAYARD STREET;CHINATOWN;R4-CONDOMINIUM;167;1985;977.005988;27.59;8.69;-5325.180458;22226999;136.23
1-00204-7501;158 HESTER STREET;CHINATOWN;R4-CONDOMINIUM;61;2004;999.3770492;34.97;10;-5314.164214;11262997;184.75
